Voter ID,Vote ID,Vote TTL,Votes for: 政を祭に変える #vote_for_プロジェクト,Votes for: イナトリアートセンター計画,Votes for: 淡路島クエストカレッジ,Votes for: 屋久島と地球の未来会議2026,Votes for: ビオ田んぼプロジェクト,Votes for: パラ旅応援団,Votes for: 10代・20代の『いま、やりたい』を後押しする拠点　ちばユースセンターPRISM
97239960-dbe7-44b9-b7ba-ef010aded146,bf927a55-3111-49f0-8e0c-3ed47ecfeab4,1749996265,9,1,0,1,4,0,0
edcc2063-fec4-490e-84c9-46ea759ec648,876b573b-a739-4bd0-a6f0-e31ce9e6a93a,1749996265,5,3,2,3,4,4,4
cb824cba-54ef-49f3-92ba-fea2e455ef54,edf692d4-93d0-49e7-a60b-8a92ec175468,1749996265,5,2,5,5,4,1,1
851ac237-8ca0-4e46-8156-91632a6ece24,9a1c00a5-fc10-44a1-ad96-1a696bfffcae,1749996265,8,3,1,1,1,1,4
7734b8bf-4016-47a4-87c0-4ba3322491be,28a5cfba-6b67-4c4e-9d89-24d0dc64f48d,1749996265,2,1,9,1,1,3,1
ea4619cf-4e28-4adc-a602-33a0ef066c85,83a6f31a-b6e3-45f7-8d1f-895da39a1e5a,1749996265,0,0,0,0,0,9,1
63377003-fba3-4510-99bc-5ab4f3f0818c,a5d4ed79-7d7c-45cc-a13f-19ea835b03cd,1749996265,0,0,0,0,0,9,0
4242a758-7c54-4629-a541-94ee0dc84709,cc5e215e-d639-412a-b24b-4eba859dda64,1749996265,2,3,6,2,0,6,3
930ea710-f7f0-48e0-9fef-687b9d063d71,a24adb4c-5444-4610-a34f-490ad5ea4690,1749996265,0,0,4,0,0,0,9
ffc42143-d88d-404d-a884-c1c49abb08d8,99cf073c-28ed-495e-bdea-8922e756d539,1749996265,2,0,0,0,2,3,9
b6451fa2-c530-4dd9-bf08-9f45c3ab4cc0,3a8bf154-c8e5-4055-9df4-12e731915f53,1749996265,4,2,5,0,1,2,6
3e187501-dc7f-4e31-940b-6ff0dc65ed13,1eddae3c-fb29-49d3-aa48-a71dd82d9ce8,1749996265,3,3,6,5,2,2,3
348a1567-f08b-486a-9ea8-ba5cbb914d98,311fd2fd-6615-4679-a122-6f25777b5828,1749996265,4,1,9,0,0,0,0
66756a7c-f08a-4499-8f76-2f0d2616cc0b,cdd95838-8606-42c2-b5c2-d04eda261ae6,1749996265,0,1,1,9,4,0,0
c6be8d4f-a3a8-46a6-a398-eeb7c7459e46,63c19168-68bd-4f47-9876-d0c131fb2e0c,1749996265,3,4,4,1,4,4,5
461dc0b2-f968-48aa-9486-5248b84800a5,550321d2-e2bc-444a-a34d-0156e6727154,1749996265,0,0,0,0,0,5,8
93a79621-293a-4915-872b-66bad59fd355,bc1f06b5-2432-4f75-9ac5-8805c325d76c,1749996265,0,0,0,0,0,0,9
