Voter ID,Vote ID,Vote TTL,Votes for: 政を祭に変える #vote_forプロジェクト,Votes for: 淡路島クエストカレッジ,Votes for: イナトリアートセンター計画,Votes for: JINEN TRAVEL,Votes for: ビオ田んぼプロジェクト,Votes for: パラ旅応援団,Votes for: 10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM
ced5ce51-f8d6-4afe-95c7-28c587ea5191,59d2ec93-464e-4508-b8ed-04aafdaf4aee,1746238207,4,4,2,3,2,5,5
3313242b-c92a-4703-a70e-1add57d09a31,ce054449-ece5-4d34-81be-093c1320256f,1746238207,3,2,0,0,1,7,6
e7b9a389-1d4c-4e6c-a82b-cb4d7c4b63c1,7cb01ada-4b7b-47db-90e2-e2d58848f44b,1746238207,1,5,1,5,5,1,1
0ae8b92a-d1e9-48e6-ba90-577333c541d4,8e7191a9-9078-4b04-b470-dcc084dc9228,1746238207,0,0,0,0,9,0,0
cd860396-9172-4010-afc4-dee63dc2a230,15b56a31-51ed-4bb2-81c5-344b78c333f2,1746238207,2,0,4,0,5,5,5
72bc7108-4e6f-400e-9557-fffa44ec644f,a779502e-14f8-467b-a6dc-d70de37cd556,1746238207,2,5,5,1,5,3,3
8a1fbfc3-1b3b-4f2e-af29-479b63cfd219,6d6f3d27-8344-4d87-bd26-175ac0af620b,1746238207,2,3,1,1,8,3,3
3ac1ddab-f2ca-49db-9dcf-6cf395b14722,873968c8-a3db-42d1-a8ee-db2a164937d6,1746238207,2,3,5,3,5,3,4
46a90b85-79e6-496a-87b6-a056e5b73b24,77b09b2d-292e-4575-9583-414af4886f92,1746238207,1,1,1,9,1,3,2
32751439-dad8-451d-b034-a68df5770df4,834164fd-ce4b-4099-9282-37601e90bbad,1746238207,2,7,3,1,0,0,6
d994c7eb-bada-4e0d-883b-5b9b5dd50e2d,e0fca027-9d57-475b-a6d8-6737801099f9,1746238207,1,3,2,1,7,3,5
9c291419-26c9-4fbb-86f5-26137bce1731,bab25f32-bf64-4434-9878-233bf3975f1a,1746238207,1,2,2,2,1,9,2
cb728023-5e99-4973-9860-98a76d46664b,b0ed2b26-44ed-4840-8ea0-176386620b58,1746238207,2,2,3,2,2,7,5
c4058e2b-c263-44a7-a5b2-b7d6f07138a7,018676f3-4379-4c86-86ab-ab3e88761949,1746238207,3,9,2,2,0,1,0
e7b9a389-1d4c-4e6c-a82b-cb4d7c4b63c1,715a9418-73a3-46da-9c76-c74b1faf910a,1746238207,1,5,1,5,5,1,1
11cbb73c-4efa-4c0e-8c77-eafd9a48c4c0,fc1f5697-f37d-4672-a1df-706ebc111c8c,1746238207,3,3,4,3,5,3,4
7734b8bf-4016-47a4-87c0-4ba3322491be,0691e13d-3617-430d-a1bd-878157ab027e,1746238207,5,7,2,3,2,2,2
650dcbe6-14ac-45e1-9f06-474afe6b2e22,9d1e9466-e602-484d-a358-9126948029d2,1746238207,3,4,2,7,2,0,4
fbcc57bb-9fbe-4db2-a080-ac64478e845a,df87a774-8627-43cd-a056-48a9732c3ae9,1746238207,4,5,5,2,2,4,3
bf330102-d8d4-414e-9d4e-d8ba6eee3005,02a24772-f850-4eff-84dd-d44f2c29f6bb,1746238207,4,0,0,0,5,3,7
d1775f04-1353-454b-9676-5b10d09f0b55,b81f1a27-7f16-432a-9d54-4aee696fa835,1746238207,0,5,0,0,4,3,7
2a665423-d500-49b3-9d4f-d9a435f5d02f,66218700-795d-4d71-8eaa-1bb0f3ab842e,1746238207,4,4,1,6,4,2,3
af238cf2-6015-48a4-8719-379aa9974ea1,c950f494-b979-468a-9513-2bef50a538b4,1746238207,1,1,1,2,5,1,8
a45fc503-b356-4d23-af12-12c2317c2a0e,b307b80d-a8e2-46c9-b412-aab353dbfd76,1746238207,3,5,3,3,6,3,1
1b8f0071-ed39-431d-9109-a42dc4efc18a,cf032c17-9c76-4aac-b81d-e1510d5f6a51,1746238207,2,4,2,1,1,3,8
acc16980-c1d1-4964-b4b0-34862a9c6dab,ac069263-eff4-405e-a410-2e147567353e,1746238207,4,4,3,4,4,3,4
beb2f019-94fb-4c1f-82e7-489f3b226d21,ffe5466a-b917-49e9-8e76-f93fffee7acb,1746238207,2,7,1,6,2,2,1
811f9d22-22e9-4496-a643-f28a7b5f0953,5765f10b-ba48-4ee3-a73c-6734967dde20,1746238207,4,0,0,0,0,0,9
7910d085-e907-4388-8672-bfbfb6f246ab,41d475bc-405d-4841-9659-0a7983266689,1746238207,2,3,1,6,6,3,2
715457f1-2fdd-4dd6-818d-475a82535c48,7808b2dc-a781-4246-a8bd-d537fcdf7aa7,1746238207,2,3,1,2,3,6,6
58aa4929-68ce-4bd1-aea1-318599097269,951c8671-f85c-48c9-8eaf-5e48ed260427,1746238207,4,2,4,2,2,3,3
14587996-c229-4790-913a-97a75ae01a88,7f0b5723-c773-4712-9861-4bb6a4397881,1746238207,2,2,2,7,5,3,2
4e7af1de-a488-4235-b15d-bf2d4099ce37,18266da8-9c32-423d-addf-e80e3bee12b3,1746238207,1,0,9,0,0,0,0
63f77afa-6f97-4f6f-952b-4a2dfe4a4ffb,d5f79a36-06b6-4d1d-9646-89b1b0571d00,1746238207,1,1,1,4,3,2,5
67b5334a-e2f0-4acc-8d13-7e4d5e90ef57,8d6d6072-822b-4a1b-a6c1-f2cbc55f2a47,1746238207,0,4,0,0,0,0,0
45fb3714-c03c-4124-8dbe-d9d2f39f8e34,299e780c-5577-472c-90fe-78e19f297fa4,1746238207,2,4,3,2,2,5,6
8570cc79-b391-4ccc-ab76-5bb4c662bebd,0afe480d-aa36-4869-acaf-8accf4f7a96a,1746238207,4,4,3,4,4,4,3
fee10770-bd3a-4883-82ee-affcfc5eb415,6b36ecc6-b87e-4421-ad99-8f2f0266f3d9,1746238207,3,5,6,1,3,4,1
eff0703b-66e3-45c1-b9d5-ed6ac57a8248,88771b6a-5550-4ca7-9784-fdd23370f86b,1746238207,4,3,4,3,4,4,3
9072370d-1697-4037-9f9f-21248d1d75bc,4bb7492d-c468-4712-9990-415810537721,1746238207,6,3,0,6,4,0,0
a996f466-b1d8-49b3-a246-ff14af99b180,56ec86ff-3064-4a73-a3b9-1c1a0334acbe,1746238207,3,2,4,5,3,3,5
2ab8f58d-bb41-488b-901f-3780e7ad8992,2d10c7f5-c2ce-4694-8f03-dc27358cc4da,1746238207,4,4,3,3,2,3,6
5678fcf5-78ec-419e-85b9-95f600f32395,3b3d2995-346b-4758-812b-5f15cbd393bc,1746238207,2,7,2,2,3,2,5
